timestamp,faces CPU,faces mem,load CPU,load mem,iperf CPU,iperf mem,gke CPU,gke mem,k8s CPU,k8s mem,data-plane CPU,data-plane mem,control-plane CPU,control-plane mem,mesh CPU,mesh mem,non-mesh CPU,non-mesh mem,business CPU,business mem,overhead CPU,overhead mem,total CPU,total mem,load app CPU,load app mem,load mesh CPU,load mesh mem,wrk2 app CPU,wrk2 app mem,wrk2 mesh CPU,wrk2 mesh mem,iperf app CPU,iperf app mem,iperf mesh CPU,iperf mesh mem,iperf-client app CPU,iperf-client app mem,iperf-client mesh CPU,iperf-client mesh mem,faces-gui app CPU,faces-gui app mem,faces-gui mesh CPU,faces-gui mesh mem,face app CPU,face app mem,face mesh CPU,face mesh mem,smiley app CPU,smiley app mem,smiley mesh CPU,smiley mesh mem,smiley2 app CPU,smiley2 app mem,smiley2 mesh CPU,smiley2 mesh mem,smiley3 app CPU,smiley3 app mem,smiley3 mesh CPU,smiley3 mesh mem,color app CPU,color app mem,color mesh CPU,color mesh mem,color2 app CPU,color2 app mem,color2 mesh CPU,color2 mesh mem,color3 app CPU,color3 app mem,color3 mesh CPU,color3 mesh mem,linkerd-destination mesh CPU,linkerd-destination mesh mem,linkerd-identity mesh CPU,linkerd-identity mesh mem,linkerd-proxy-injector mesh CPU,linkerd-proxy-injector mesh mem,istiod mesh CPU,istiod mesh mem,istio-ingressgateway mesh CPU,istio-ingressgateway mesh mem,waypoint mesh CPU,waypoint mesh mem,ztunnel mesh CPU,ztunnel mesh mem
2025-03-27 22:51:34,47601321,107102208,,,,,17812079,273035264,58093298,706768896,32478728,111443968,16759948,242077696,49238676,353521664,47601321,107102208,96839997,460623872,75905377,979804160,172745374,1440428032,,,,,,,,,,,,,,,,,1070,6254592,684962,12111872,44028493,27779072,21856605,21651456,1205132,24629248,5304790,15396864,1167,6545408,702455,12156928,0,6217728,723390,12713984,2364579,23232512,1891243,13115392,0,6418432,683610,12144640,880,6025216,631673,12152832,12865556,132489216,1743257,47190016,2151135,62398464,,,,,,,,
2025-03-27 22:51:44,47601321,107102208,,,,,17812079,273035264,58093298,706768896,32478728,111443968,16759948,242077696,49238676,353521664,47601321,107102208,96839997,460623872,75905377,979804160,172745374,1440428032,,,,,,,,,,,,,,,,,1070,6254592,684962,12111872,44028493,27779072,21856605,21651456,1205132,24629248,5304790,15396864,1167,6545408,702455,12156928,0,6217728,723390,12713984,2364579,23232512,1891243,13115392,0,6418432,683610,12144640,880,6025216,631673,12152832,12865556,132489216,1743257,47190016,2151135,62398464,,,,,,,,
2025-03-27 22:51:54,4020592,107126784,,,,,21335310,268357632,55958048,708382720,11793914,110231552,14992288,245194752,26786202,355426304,4020592,107126784,30806794,462553088,77293358,976740352,108100152,1439293440,,,,,,,,,,,,,,,,,3205,6254592,690711,12111872,53172,27590656,6846925,20975616,2470390,24829952,771593,15380480,3176,6545408,669215,12156928,4727,6217728,660884,12193792,1478202,23244800,666163,13115392,4041,6418432,741379,12144640,3679,6025216,747044,12152832,10589186,132857856,1433743,47198208,2969359,65138688,,,,,,,,
2025-03-27 22:52:04,4020592,107126784,,,,,21335310,268357632,55958048,708382720,11793914,110231552,14992288,245194752,26786202,355426304,4020592,107126784,30806794,462553088,77293358,976740352,108100152,1439293440,,,,,,,,,,,,,,,,,3205,6254592,690711,12111872,53172,27590656,6846925,20975616,2470390,24829952,771593,15380480,3176,6545408,669215,12156928,4727,6217728,660884,12193792,1478202,23244800,666163,13115392,4041,6418432,741379,12144640,3679,6025216,747044,12152832,10589186,132857856,1433743,47198208,2969359,65138688,,,,,,,,
2025-03-27 22:52:14,4020592,107126784,,,,,21335310,268357632,55958048,708382720,11793914,110231552,14992288,245194752,26786202,355426304,4020592,107126784,30806794,462553088,77293358,976740352,108100152,1439293440,,,,,,,,,,,,,,,,,3205,6254592,690711,12111872,53172,27590656,6846925,20975616,2470390,24829952,771593,15380480,3176,6545408,669215,12156928,4727,6217728,660884,12193792,1478202,23244800,666163,13115392,4041,6418432,741379,12144640,3679,6025216,747044,12152832,10589186,132857856,1433743,47198208,2969359,65138688,,,,,,,,
2025-03-27 22:52:24,261542304,106467328,17896763,21061632,,,21136457,267771904,118924094,711118848,174848966,135655424,21207364,251842560,196056330,387497984,279439067,127528960,475495397,515026944,140060551,978890752,615555948,1493917696,,,,,17896763,21061632,26354751,27185152,,,,,,,,,4303,6254592,729511,12120064,219511992,27086848,90367929,19558400,26179477,24829952,34187056,14802944,0,6545408,680179,12152832,0,6217728,752513,12193792,15843280,23089152,20367934,13340672,1085,6418432,710256,12148736,2167,6025216,698837,12152832,14025569,135868416,2592790,47271936,4589005,68702208,,,,,,,,
2025-03-27 22:52:34,261542304,106467328,17896763,21061632,,,21136457,267771904,118924094,711118848,174848966,135655424,21207364,251842560,196056330,387497984,279439067,127528960,475495397,515026944,140060551,978890752,615555948,1493917696,,,,,17896763,21061632,26354751,27185152,,,,,,,,,4303,6254592,729511,12120064,219511992,27086848,90367929,19558400,26179477,24829952,34187056,14802944,0,6545408,680179,12152832,0,6217728,752513,12193792,15843280,23089152,20367934,13340672,1085,6418432,710256,12148736,2167,6025216,698837,12152832,14025569,135868416,2592790,47271936,4589005,68702208,,,,,,,,
2025-03-27 22:52:45,261542304,106467328,17896763,21061632,,,21136457,267771904,118924094,711118848,174848966,135655424,21207364,251842560,196056330,387497984,279439067,127528960,475495397,515026944,140060551,978890752,615555948,1493917696,,,,,17896763,21061632,26354751,27185152,,,,,,,,,4303,6254592,729511,12120064,219511992,27086848,90367929,19558400,26179477,24829952,34187056,14802944,0,6545408,680179,12152832,0,6217728,752513,12193792,15843280,23089152,20367934,13340672,1085,6418432,710256,12148736,2167,6025216,698837,12152832,14025569,135868416,2592790,47271936,4589005,68702208,,,,,,,,
2025-03-27 22:52:55,293762698,110604288,17501321,21061632,,,19211806,270667776,112595834,705929216,150699068,138162176,14255439,251752448,164954507,389914624,311264019,131665920,476218526,521580544,131807640,976596992,608026166,1498177536,,,,,17501321,21061632,15861097,28205056,,,,,,,,,1176,6254592,715846,12120064,243585621,31199232,79081461,21803008,27439424,24711168,35668676,14065664,5842,6545408,691932,12161024,5130,6217728,680913,12197888,22719781,23232512,16612229,13045760,2876,6418432,690146,12410880,2848,6025216,696768,12152832,11324213,135757824,1469620,47288320,1461606,68706304,,,,,,,,
2025-03-27 22:53:05,293762698,110604288,17501321,21061632,,,19211806,270667776,112595834,705929216,150699068,138162176,14255439,251752448,164954507,389914624,311264019,131665920,476218526,521580544,131807640,976596992,608026166,1498177536,,,,,17501321,21061632,15861097,28205056,,,,,,,,,1176,6254592,715846,12120064,243585621,31199232,79081461,21803008,27439424,24711168,35668676,14065664,5842,6545408,691932,12161024,5130,6217728,680913,12197888,22719781,23232512,16612229,13045760,2876,6418432,690146,12410880,2848,6025216,696768,12152832,11324213,135757824,1469620,47288320,1461606,68706304,,,,,,,,
2025-03-27 22:53:15,293762698,110604288,17501321,21061632,,,19211806,270667776,112595834,705929216,150699068,138162176,14255439,251752448,164954507,389914624,311264019,131665920,476218526,521580544,131807640,976596992,608026166,1498177536,,,,,17501321,21061632,15861097,28205056,,,,,,,,,1176,6254592,715846,12120064,243585621,31199232,79081461,21803008,27439424,24711168,35668676,14065664,5842,6545408,691932,12161024,5130,6217728,680913,12197888,22719781,23232512,16612229,13045760,2876,6418432,690146,12410880,2848,6025216,696768,12152832,11324213,135757824,1469620,47288320,1461606,68706304,,,,,,,,
2025-03-27 22:53:25,312754733,112193536,18290058,21061632,,,17162110,271462400,123808465,706805760,167777796,138682368,12470913,251863040,180248709,390545408,331044791,133255168,511293500,523800576,140970575,978268160,652264075,1502068736,,,,,18290058,21061632,15901702,28061696,,,,,,,,,1345,6254592,667284,12120064,266211236,32419840,91501938,22343680,27652153,24993792,34777428,13885440,0,6545408,684261,12165120,0,6217728,667857,12197888,18885015,23318528,22249011,13602816,3601,6418432,640413,12148736,1383,6025216,687902,12156928,9363044,135827456,1642835,47316992,1465034,68718592,,,,,,,,
2025-03-27 22:53:36,312754733,112193536,18290058,21061632,,,17162110,271462400,123808465,706805760,167777796,138682368,12470913,251863040,180248709,390545408,331044791,133255168,511293500,523800576,140970575,978268160,652264075,1502068736,,,,,18290058,21061632,15901702,28061696,,,,,,,,,1345,6254592,667284,12120064,266211236,32419840,91501938,22343680,27652153,24993792,34777428,13885440,0,6545408,684261,12165120,0,6217728,667857,12197888,18885015,23318528,22249011,13602816,3601,6418432,640413,12148736,1383,6025216,687902,12156928,9363044,135827456,1642835,47316992,1465034,68718592,,,,,,,,
2025-03-27 22:53:46,312754733,112193536,18290058,21061632,,,17162110,271462400,123808465,706805760,167777796,138682368,12470913,251863040,180248709,390545408,331044791,133255168,511293500,523800576,140970575,978268160,652264075,1502068736,,,,,18290058,21061632,15901702,28061696,,,,,,,,,1345,6254592,667284,12120064,266211236,32419840,91501938,22343680,27652153,24993792,34777428,13885440,0,6545408,684261,12165120,0,6217728,667857,12197888,18885015,23318528,22249011,13602816,3601,6418432,640413,12148736,1383,6025216,687902,12156928,9363044,135827456,1642835,47316992,1465034,68718592,,,,,,,,
2025-03-27 22:53:56,325725669,108023808,18428718,21061632,,,16722831,273215488,113736440,705204224,144808282,138948608,12442839,252231680,157251121,391180288,344154387,129085440,501405508,520265728,130459271,978419712,631864779,1498685440,,,,,18428718,21061632,16119491,28438528,,,,,,,,,3387,6254592,676929,12386304,279692991,27971584,75244136,21749760,25390632,25518080,31089970,14372864,4484,6545408,682912,12161024,7622,6217728,653752,12197888,20623950,23072768,19027712,13336576,0,6418432,667068,12148736,2603,6025216,646312,12156928,9030848,136228864,1495633,47296512,1916358,68706304,,,,,,,,
2025-03-27 22:54:06,325725669,108023808,18428718,21061632,,,16722831,273215488,113736440,705204224,144808282,138948608,12442839,252231680,157251121,391180288,344154387,129085440,501405508,520265728,130459271,978419712,631864779,1498685440,,,,,18428718,21061632,16119491,28438528,,,,,,,,,3387,6254592,676929,12386304,279692991,27971584,75244136,21749760,25390632,25518080,31089970,14372864,4484,6545408,682912,12161024,7622,6217728,653752,12197888,20623950,23072768,19027712,13336576,0,6418432,667068,12148736,2603,6025216,646312,12156928,9030848,136228864,1495633,47296512,1916358,68706304,,,,,,,,
2025-03-27 22:54:16,320426568,109506560,17219876,21061632,,,20368320,268959744,131628949,708108288,162957766,139993088,12932504,247685120,175890270,387678208,337646444,130568192,513536714,518246400,151997269,977068032,665533983,1495314432,,,,,17219876,21061632,15461178,29216768,,,,,,,,,1659,6254592,661439,12120064,279874893,29929472,91221319,22593536,22321134,24694784,33485660,14331904,0,6545408,602306,12165120,0,6217728,721535,12197888,18225955,23420928,19413610,13062144,1361,6418432,706986,12148736,1566,6025216,683733,12156928,9289779,136876032,1610512,47104000,2032213,63705088,,,,,,,,
2025-03-27 22:54:27,320426568,109506560,17219876,21061632,,,20368320,268959744,131628949,708108288,162957766,139993088,12932504,247685120,175890270,387678208,337646444,130568192,513536714,518246400,151997269,977068032,665533983,1495314432,,,,,17219876,21061632,15461178,29216768,,,,,,,,,1659,6254592,661439,12120064,279874893,29929472,91221319,22593536,22321134,24694784,33485660,14331904,0,6545408,602306,12165120,0,6217728,721535,12197888,18225955,23420928,19413610,13062144,1361,6418432,706986,12148736,1566,6025216,683733,12156928,9289779,136876032,1610512,47104000,2032213,63705088,,,,,,,,
2025-03-27 22:54:37,320426568,109506560,17219876,21061632,,,20368320,268959744,131628949,708108288,162957766,139993088,12932504,247685120,175890270,387678208,337646444,130568192,513536714,518246400,151997269,977068032,665533983,1495314432,,,,,17219876,21061632,15461178,29216768,,,,,,,,,1659,6254592,661439,12120064,279874893,29929472,91221319,22593536,22321134,24694784,33485660,14331904,0,6545408,602306,12165120,0,6217728,721535,12197888,18225955,23420928,19413610,13062144,1361,6418432,706986,12148736,1566,6025216,683733,12156928,9289779,136876032,1610512,47104000,2032213,63705088,,,,,,,,
2025-03-27 22:54:47,286622430,108847104,17649651,21061632,,,18401468,269459456,117484813,706580480,155345791,139456512,13861821,244948992,169207612,384405504,304272081,129908736,473479693,514314240,135886281,976039936,609365974,1490354176,,,,,17649651,21061632,16794863,28721152,,,,,,,,,3204,6254592,701882,12382208,238126493,29507584,80384244,21561344,29737852,24678400,36701131,14520320,4455,6545408,625334,12161024,4507,6217728,664135,12201984,18739432,23199744,18159320,13602816,2921,6418432,697339,12148736,3566,6025216,617543,12156928,10892061,134148096,1386636,47120384,1583124,63680512,,,,,,,,
2025-03-27 22:54:57,286622430,108847104,17649651,21061632,,,18401468,269459456,117484813,706580480,155345791,139456512,13861821,244948992,169207612,384405504,304272081,129908736,473479693,514314240,135886281,976039936,609365974,1490354176,,,,,17649651,21061632,16794863,28721152,,,,,,,,,3204,6254592,701882,12382208,238126493,29507584,80384244,21561344,29737852,24678400,36701131,14520320,4455,6545408,625334,12161024,4507,6217728,664135,12201984,18739432,23199744,18159320,13602816,2921,6418432,697339,12148736,3566,6025216,617543,12156928,10892061,134148096,1386636,47120384,1583124,63680512,,,,,,,,
