timestamp,faces CPU,faces mem,load CPU,load mem,iperf CPU,iperf mem,gke CPU,gke mem,k8s CPU,k8s mem,data-plane CPU,data-plane mem,control-plane CPU,control-plane mem,mesh CPU,mesh mem,non-mesh CPU,non-mesh mem,business CPU,business mem,overhead CPU,overhead mem,total CPU,total mem,load app CPU,load app mem,load mesh CPU,load mesh mem,wrk2 app CPU,wrk2 app mem,wrk2 mesh CPU,wrk2 mesh mem,iperf app CPU,iperf app mem,iperf mesh CPU,iperf mesh mem,iperf-client app CPU,iperf-client app mem,iperf-client mesh CPU,iperf-client mesh mem,faces-gui app CPU,faces-gui app mem,faces-gui mesh CPU,faces-gui mesh mem,face app CPU,face app mem,face mesh CPU,face mesh mem,smiley app CPU,smiley app mem,smiley mesh CPU,smiley mesh mem,smiley2 app CPU,smiley2 app mem,smiley2 mesh CPU,smiley2 mesh mem,smiley3 app CPU,smiley3 app mem,smiley3 mesh CPU,smiley3 mesh mem,color app CPU,color app mem,color mesh CPU,color mesh mem,color2 app CPU,color2 app mem,color2 mesh CPU,color2 mesh mem,color3 app CPU,color3 app mem,color3 mesh CPU,color3 mesh mem,linkerd-destination mesh CPU,linkerd-destination mesh mem,linkerd-identity mesh CPU,linkerd-identity mesh mem,linkerd-proxy-injector mesh CPU,linkerd-proxy-injector mesh mem,istiod mesh CPU,istiod mesh mem,istio-ingressgateway mesh CPU,istio-ingressgateway mesh mem,waypoint mesh CPU,waypoint mesh mem,ztunnel mesh CPU,ztunnel mesh mem
2025-03-27 22:45:33,16690960,106135552,,,,,19834383,266244096,71730028,705114112,25834159,111230976,16991704,240750592,42825863,351981568,16690960,106135552,59516823,458117120,91564411,971358208,151081234,1429475328,,,,,,,,,,,,,,,,,3347,6254592,715249,12087296,9620746,27070464,13147069,21655552,4319230,24571904,5250642,15953920,0,6545408,724094,12124160,0,6217728,723292,12177408,2742353,23031808,3698128,12984320,2115,6418432,739988,12124160,3169,6025216,835697,12124160,12759062,131612672,1818778,47271936,2413864,61865984,,,,,,,,
2025-03-27 22:45:43,16690960,106135552,,,,,19834383,266244096,71730028,705114112,25834159,111230976,16991704,240750592,42825863,351981568,16690960,106135552,59516823,458117120,91564411,971358208,151081234,1429475328,,,,,,,,,,,,,,,,,3347,6254592,715249,12087296,9620746,27070464,13147069,21655552,4319230,24571904,5250642,15953920,0,6545408,724094,12124160,0,6217728,723292,12177408,2742353,23031808,3698128,12984320,2115,6418432,739988,12124160,3169,6025216,835697,12124160,12759062,131612672,1818778,47271936,2413864,61865984,,,,,,,,
2025-03-27 22:45:54,1412105,105930752,,,,,33476334,330936320,46453336,705753088,8659547,110489600,12515934,241164288,21175481,351653888,1412105,105930752,22587586,457584640,79929670,1036689408,102517256,1494274048,,,,,,,,,,,,,,,,,4152,6254592,750812,12087296,35143,26886144,3473952,21090304,1352616,24551424,835357,15773696,5250,6545408,734985,12124160,9720,6217728,738609,12177408,0,23031808,701093,12984320,3081,6418432,724821,12124160,2143,6025216,699918,12128256,8992088,132001792,2038975,47300608,1484871,61861888,,,,,,,,
2025-03-27 22:46:04,1412105,105930752,,,,,33476334,330936320,46453336,705753088,8659547,110489600,12515934,241164288,21175481,351653888,1412105,105930752,22587586,457584640,79929670,1036689408,102517256,1494274048,,,,,,,,,,,,,,,,,4152,6254592,750812,12087296,35143,26886144,3473952,21090304,1352616,24551424,835357,15773696,5250,6545408,734985,12124160,9720,6217728,738609,12177408,0,23031808,701093,12984320,3081,6418432,724821,12124160,2143,6025216,699918,12128256,8992088,132001792,2038975,47300608,1484871,61861888,,,,,,,,
2025-03-27 22:46:14,1412105,105930752,,,,,33476334,330936320,46453336,705753088,8659547,110489600,12515934,241164288,21175481,351653888,1412105,105930752,22587586,457584640,79929670,1036689408,102517256,1494274048,,,,,,,,,,,,,,,,,4152,6254592,750812,12087296,35143,26886144,3473952,21090304,1352616,24551424,835357,15773696,5250,6545408,734985,12124160,9720,6217728,738609,12177408,0,23031808,701093,12984320,3081,6418432,724821,12124160,2143,6025216,699918,12128256,8992088,132001792,2038975,47300608,1484871,61861888,,,,,,,,
2025-03-27 22:46:24,318334819,106872832,17301917,21049344,,,21605983,316862464,125784405,711397376,154884047,137699328,24025455,250032128,178909502,387731456,335636736,127922176,514546238,515653632,147390388,1028259840,661936626,1543913472,,,,,17301917,21049344,23064564,27770880,,,,,,,,,1580,6254592,734017,12091392,274115686,27525120,82091923,20701184,26592944,24485888,26452023,15548416,0,6545408,757210,12124160,812,6217728,734836,12177408,17617189,23400448,19529074,13033472,1495,6418432,794420,12124160,5113,6025216,725980,12128256,15992545,134250496,1878820,47341568,6154090,68440064,,,,,,,,
2025-03-27 22:46:34,318334819,106872832,17301917,21049344,,,21605983,316862464,125784405,711397376,154884047,137699328,24025455,250032128,178909502,387731456,335636736,127922176,514546238,515653632,147390388,1028259840,661936626,1543913472,,,,,17301917,21049344,23064564,27770880,,,,,,,,,1580,6254592,734017,12091392,274115686,27525120,82091923,20701184,26592944,24485888,26452023,15548416,0,6545408,757210,12124160,812,6217728,734836,12177408,17617189,23400448,19529074,13033472,1495,6418432,794420,12124160,5113,6025216,725980,12128256,15992545,134250496,1878820,47341568,6154090,68440064,,,,,,,,
2025-03-27 22:46:44,318334819,106872832,17301917,21049344,,,21605983,316862464,125784405,711397376,154884047,137699328,24025455,250032128,178909502,387731456,335636736,127922176,514546238,515653632,147390388,1028259840,661936626,1543913472,,,,,17301917,21049344,23064564,27770880,,,,,,,,,1580,6254592,734017,12091392,274115686,27525120,82091923,20701184,26592944,24485888,26452023,15548416,0,6545408,757210,12124160,812,6217728,734836,12177408,17617189,23400448,19529074,13033472,1495,6418432,794420,12124160,5113,6025216,725980,12128256,15992545,134250496,1878820,47341568,6154090,68440064,,,,,,,,
2025-03-27 22:46:55,307106751,108449792,14247807,21049344,,,19006592,319119360,122396477,709955584,158292650,139157504,14325603,250560512,172618253,389718016,321354558,129499136,493972811,519217152,141403069,1029074944,635375880,1548292096,,,,,14247807,21049344,18643267,28585984,,,,,,,,,3416,6254592,679384,12087296,262322834,29331456,84036148,22593536,26606285,24719360,31717567,14016512,5509,6545408,658490,12386304,4446,6217728,676710,12177408,18162170,22937600,20495668,13053952,2091,6418432,705733,12124160,0,6025216,679683,12132352,11305653,134737920,1489550,47378432,1530400,68444160,,,,,,,,
2025-03-27 22:47:05,307106751,108449792,14247807,21049344,,,19006592,319119360,122396477,709955584,158292650,139157504,14325603,250560512,172618253,389718016,321354558,129499136,493972811,519217152,141403069,1029074944,635375880,1548292096,,,,,14247807,21049344,18643267,28585984,,,,,,,,,3416,6254592,679384,12087296,262322834,29331456,84036148,22593536,26606285,24719360,31717567,14016512,5509,6545408,658490,12386304,4446,6217728,676710,12177408,18162170,22937600,20495668,13053952,2091,6418432,705733,12124160,0,6025216,679683,12132352,11305653,134737920,1489550,47378432,1530400,68444160,,,,,,,,
