timestamp,faces CPU,faces mem,load CPU,load mem,iperf CPU,iperf mem,gke CPU,gke mem,k8s CPU,k8s mem,data-plane CPU,data-plane mem,control-plane CPU,control-plane mem,mesh CPU,mesh mem,non-mesh CPU,non-mesh mem,business CPU,business mem,overhead CPU,overhead mem,total CPU,total mem,load app CPU,load app mem,load mesh CPU,load mesh mem,wrk2 app CPU,wrk2 app mem,wrk2 mesh CPU,wrk2 mesh mem,iperf app CPU,iperf app mem,iperf mesh CPU,iperf mesh mem,iperf-client app CPU,iperf-client app mem,iperf-client mesh CPU,iperf-client mesh mem,faces-gui app CPU,faces-gui app mem,faces-gui mesh CPU,faces-gui mesh mem,face app CPU,face app mem,face mesh CPU,face mesh mem,smiley app CPU,smiley app mem,smiley mesh CPU,smiley mesh mem,smiley2 app CPU,smiley2 app mem,smiley2 mesh CPU,smiley2 mesh mem,smiley3 app CPU,smiley3 app mem,smiley3 mesh CPU,smiley3 mesh mem,color app CPU,color app mem,color mesh CPU,color mesh mem,color2 app CPU,color2 app mem,color2 mesh CPU,color2 mesh mem,color3 app CPU,color3 app mem,color3 mesh CPU,color3 mesh mem,linkerd-destination mesh CPU,linkerd-destination mesh mem,linkerd-identity mesh CPU,linkerd-identity mesh mem,linkerd-proxy-injector mesh CPU,linkerd-proxy-injector mesh mem,istiod mesh CPU,istiod mesh mem,istio-ingressgateway mesh CPU,istio-ingressgateway mesh mem,waypoint mesh CPU,waypoint mesh mem,ztunnel mesh CPU,ztunnel mesh mem
2025-03-27 23:15:57,6714449,110129152,,,,,38759785,335675392,55022043,698470400,25408441,113696768,15256444,243789824,40664885,357486592,6714449,110129152,47379334,467615744,93781828,1034145792,141161162,1501761536,,,,,,,,,,,,,,,,,2237,7979008,713963,11755520,5911922,29360128,19764286,22749184,352405,24633344,1020524,16523264,6639,6545408,794773,12193792,5797,6217728,812052,12238848,425682,22949888,790636,13324288,4421,6418432,720439,12189696,5346,6025216,791768,12722176,11159306,133316608,1989969,47550464,2107169,62922752,,,,,,,,
2025-03-27 23:16:07,6714449,110129152,,,,,38759785,335675392,55022043,698470400,25408441,113696768,15256444,243789824,40664885,357486592,6714449,110129152,47379334,467615744,93781828,1034145792,141161162,1501761536,,,,,,,,,,,,,,,,,2237,7979008,713963,11755520,5911922,29360128,19764286,22749184,352405,24633344,1020524,16523264,6639,6545408,794773,12193792,5797,6217728,812052,12238848,425682,22949888,790636,13324288,4421,6418432,720439,12189696,5346,6025216,791768,12722176,11159306,133316608,1989969,47550464,2107169,62922752,,,,,,,,
2025-03-27 23:16:17,121091572,115757056,,,,,26590362,313315328,70418451,711700480,21849028,112181248,22403493,248094720,44252521,360275968,121091572,115757056,165344093,476033024,97008813,1025015808,262352906,1501048832,,,,,,,,,,,,,,,,,3052,7979008,780791,11755520,116442364,34807808,6829414,22056960,3547556,24662016,4331779,16101376,0,6545408,746024,12193792,0,6217728,762544,12238848,1093926,23101440,6858879,13447168,4674,6418432,789983,12189696,0,6025216,749614,12197888,13420159,134291456,2240526,47894528,6742808,65908736,,,,,,,,
2025-03-27 23:16:27,121091572,115757056,,,,,26590362,313315328,70418451,711700480,21849028,112181248,22403493,248094720,44252521,360275968,121091572,115757056,165344093,476033024,97008813,1025015808,262352906,1501048832,,,,,,,,,,,,,,,,,3052,7979008,780791,11755520,116442364,34807808,6829414,22056960,3547556,24662016,4331779,16101376,0,6545408,746024,12193792,0,6217728,762544,12238848,1093926,23101440,6858879,13447168,4674,6418432,789983,12189696,0,6025216,749614,12197888,13420159,134291456,2240526,47894528,6742808,65908736,,,,,,,,
2025-03-27 23:16:37,121091572,115757056,,,,,26590362,313315328,70418451,711700480,21849028,112181248,22403493,248094720,44252521,360275968,121091572,115757056,165344093,476033024,97008813,1025015808,262352906,1501048832,,,,,,,,,,,,,,,,,3052,7979008,780791,11755520,116442364,34807808,6829414,22056960,3547556,24662016,4331779,16101376,0,6545408,746024,12193792,0,6217728,762544,12238848,1093926,23101440,6858879,13447168,4674,6418432,789983,12189696,0,6025216,749614,12197888,13420159,134291456,2240526,47894528,6742808,65908736,,,,,,,,
2025-03-27 23:16:48,625124934,117731328,22509170,21180416,,,20651259,296402944,184558132,705396736,281793925,142151680,14963335,248971264,296757260,391122944,647634104,138911744,944391364,530034688,205209391,1001799680,1149600755,1531834368,,,,,22509170,21180416,34763549,28717056,,,,,,,,,1961,7979008,822928,11755520,535649267,36741120,143931001,24649728,51963057,24846336,63231947,14516224,5850,6545408,756049,12447744,6431,6217728,785019,12238848,37491539,22958080,36045818,13438976,1175,6418432,718397,12189696,5654,6025216,739217,12197888,11520776,135344128,1811010,47730688,1631549,65896448,,,,,,,,
2025-03-27 23:16:58,625124934,117731328,22509170,21180416,,,20651259,296402944,184558132,705396736,281793925,142151680,14963335,248971264,296757260,391122944,647634104,138911744,944391364,530034688,205209391,1001799680,1149600755,1531834368,,,,,22509170,21180416,34763549,28717056,,,,,,,,,1961,7979008,822928,11755520,535649267,36741120,143931001,24649728,51963057,24846336,63231947,14516224,5850,6545408,756049,12447744,6431,6217728,785019,12238848,37491539,22958080,36045818,13438976,1175,6418432,718397,12189696,5654,6025216,739217,12197888,11520776,135344128,1811010,47730688,1631549,65896448,,,,,,,,
2025-03-27 23:17:08,625124934,117731328,22509170,21180416,,,20651259,296402944,184558132,705396736,281793925,142151680,14963335,248971264,296757260,391122944,647634104,138911744,944391364,530034688,205209391,1001799680,1149600755,1531834368,,,,,22509170,21180416,34763549,28717056,,,,,,,,,1961,7979008,822928,11755520,535649267,36741120,143931001,24649728,51963057,24846336,63231947,14516224,5850,6545408,756049,12447744,6431,6217728,785019,12238848,37491539,22958080,36045818,13438976,1175,6418432,718397,12189696,5654,6025216,739217,12197888,11520776,135344128,1811010,47730688,1631549,65896448,,,,,,,,
2025-03-27 23:17:18,642487031,117518336,20966895,21073920,,,21953697,289726464,196806544,710168576,297138170,145453056,14496627,249401344,311634797,394854400,663453926,138592256,975088723,533446656,218760241,999895040,1193848964,1533341696,,,,,20966895,21073920,34473407,29835264,,,,,,,,,4547,7979008,740517,11759616,551815314,36081664,159099947,25804800,51095818,24629248,63714043,15568896,0,6545408,755433,12193792,0,6217728,814946,12242944,39568610,23621632,35920195,13385728,2742,6418432,839795,12193792,0,6025216,779887,12468224,11100628,135761920,1639527,47730688,1756472,65908736,,,,,,,,
2025-03-27 23:17:28,642487031,117518336,20966895,21073920,,,21953697,289726464,196806544,710168576,297138170,145453056,14496627,249401344,311634797,394854400,663453926,138592256,975088723,533446656,218760241,999895040,1193848964,1533341696,,,,,20966895,21073920,34473407,29835264,,,,,,,,,4547,7979008,740517,11759616,551815314,36081664,159099947,25804800,51095818,24629248,63714043,15568896,0,6545408,755433,12193792,0,6217728,814946,12242944,39568610,23621632,35920195,13385728,2742,6418432,839795,12193792,0,6025216,779887,12468224,11100628,135761920,1639527,47730688,1756472,65908736,,,,,,,,
